wavelength_nm,HDPE_white_GDS384,HDPE_black_GDS351,LDPE_white_GDS404,PET_clear_GDS380,PET_brown_GDS379,Polystyrene_blue_GDS345,ABS_black_GDS341,Polyester_black_GDS434,Nylon_olive_GDS428,Cotton_white_GDS437,Concrete_grey_GDS375,Brick_red_GDS349,Asphalt_black_GDS376,Asphalt_tar_GDS346,Cedar_fresh_GDS357,Cedar_weathered_GDS361,Pine_beam_GDS363,GreenVeg_aspen,DryGrass_golden_GDS480,DryNPV_Dspicata,BareSoil_playa,Water_turbid,IronOxide_GDS782,Goethite_GDS134,Cellulose_SAC6288,Lignin_SA370959
400,0.375155,0.138976,0.386698,0.446576,0.006215,0.603744,0.026449,0.014584,0.050353,0.301974,0.184388,0.054040,0.060255,0.026166,0.030445,0.083107,0.128412,,0.042548,0.137564,0.180531,0.065237,0.015078,0.017619,0.844523,0.014089
401,0.396058,0.139157,0.411055,0.448187,0.006098,0.608936,0.026454,0.014498,0.049780,0.309510,0.185135,0.054057,0.060418,0.026156,0.030731,0.083389,0.131068,,0.043374,0.138114,0.181488,0.067267,0.015167,0.017531,0.845449,0.014099
402,0.417493,0.139306,0.435845,0.449754,0.006002,0.613973,0.026446,0.014465,0.049263,0.317845,0.185872,0.054060,0.060566,0.026150,0.031018,0.083682,0.133753,,0.044214,0.138537,0.182415,0.068652,0.015104,0.017478,0.846725,0.014110
403,0.439289,0.139419,0.460804,0.451267,0.005921,0.618865,0.026428,0.014428,0.048755,0.327075,0.186603,0.054060,0.060697,0.026145,0.031315,0.083983,0.136470,,0.045056,0.138793,0.183332,0.068660,0.015053,0.017508,0.847726,0.014076
404,0.461273,0.139496,0.485663,0.452713,0.005848,0.623615,0.026408,0.014336,0.048216,0.337291,0.187334,0.054068,0.060823,0.026138,0.031628,0.084291,0.139218,,0.045907,0.139127,0.184247,0.067896,0.015150,0.017589,0.848704,0.014080
405,0.483286,0.139540,0.510160,0.454078,0.005776,0.628223,0.026394,0.014196,0.047648,0.348540,0.188062,0.054081,0.060956,0.026124,0.031952,0.084600,0.141990,,0.046778,0.139389,0.185166,0.067297,0.015277,0.017666,0.849873,0.014143
406,0.505178,0.139555,0.534036,0.455355,0.005701,0.632686,0.026391,0.014048,0.047083,0.360841,0.188782,0.054088,0.061103,0.026100,0.032281,0.084906,0.144773,,0.047676,0.139665,0.186096,0.067546,0.015409,0.017700,0.851143,0.014143
407,0.526796,0.139549,0.557031,0.456543,0.005625,0.636980,0.026389,0.013931,0.046549,0.374207,0.189488,0.054080,0.061259,0.026073,0.032606,0.085204,0.147553,,0.048589,0.140111,0.187043,0.068308,0.015527,0.017703,0.852169,0.014125
408,0.547973,0.139528,0.578905,0.457649,0.005551,0.641077,0.026371,0.013849,0.046047,0.388573,0.190183,0.054060,0.061412,0.026048,0.032925,0.085496,0.150321,,0.049502,0.140396,0.188013,0.068994,0.015484,0.017701,0.853136,0.014125
409,0.568529,0.139499,0.599422,0.458680,0.005483,0.644951,0.026328,0.013783,0.045562,0.403831,0.190872,0.054038,0.061556,0.026031,0.033237,0.085787,0.153070,,0.050403,0.140859,0.189009,0.069165,0.015393,0.017714,0.854301,0.014159
410,0.588289,0.139456,0.618360,0.459645,0.005421,0.648586,0.026274,0.013715,0.045080,0.419864,0.191560,0.054022,0.061695,0.026017,0.033541,0.086081,0.155792,,0.051298,0.141588,0.190019,0.068976,0.015508,0.017737,0.855375,0.014189
411,0.607108,0.139392,0.635593,0.460555,0.005364,0.651966,0.026231,0.013635,0.044591,0.436474,0.192256,0.054020,0.061840,0.025999,0.033842,0.086375,0.158483,,0.052199,0.142210,0.191025,0.068732,0.015593,0.017762,0.856383,0.014196
412,0.624861,0.139303,0.651059,0.461421,0.005311,0.655085,0.026214,0.013540,0.044091,0.453417,0.192966,0.054036,0.061995,0.025972,0.034148,0.086660,0.161141,,0.053116,0.142643,0.192017,0.068684,0.015622,0.017781,0.857368,0.014182
413,0.641427,0.139196,0.664701,0.462248,0.005262,0.657954,0.026213,0.013425,0.043580,0.470446,0.193696,0.054076,0.062157,0.025945,0.034465,0.086927,0.163763,,0.054053,0.143182,0.192995,0.068870,0.015569,0.017807,0.858371,0.014169
414,0.656748,0.139083,0.676571,0.463041,0.005214,0.660595,0.026211,0.013306,0.043073,0.487312,0.194439,0.054126,0.062317,0.025928,0.034793,0.087186,0.166343,0.049496,0.055015,0.144066,0.193967,0.069274,0.015317,0.017855,0.859415,0.014194
415,0.670797,0.138972,0.686775,0.463802,0.005166,0.663037,0.026195,0.013209,0.042599,0.503764,0.195176,0.054167,0.062472,0.025929,0.035125,0.087454,0.168868,0.049497,0.056001,0.144676,0.194938,0.069855,0.015252,0.017935,0.860434,0.014223
416,0.683554,0.138865,0.695426,0.464531,0.005120,0.665345,0.026167,0.013157,0.042184,0.519554,0.195894,0.054181,0.062622,0.025942,0.035457,0.087749,0.171330,0.049498,0.056999,0.145168,0.195914,0.070467,0.015334,0.018029,0.861420,0.014239
417,0.695029,0.138761,0.702664,0.465225,0.005079,0.667593,0.026133,0.013147,0.041822,0.534473,0.196601,0.054175,0.062770,0.025956,0.035789,0.088065,0.173727,0.049499,0.057992,0.145764,0.196901,0.070938,0.015252,0.018114,0.862496,0.014261
418,0.705248,0.138658,0.708644,0.465884,0.005045,0.669852,0.026098,0.013156,0.041493,0.548333,0.197320,0.054171,0.062920,0.025964,0.036127,0.088384,0.176065,0.049501,0.058966,0.146634,0.197902,0.071149,0.015408,0.018176,0.863497,0.014266
419,0.714244,0.138556,0.713522,0.466511,0.005016,0.672163,0.026064,0.013163,0.041175,0.560958,0.198072,0.054187,0.063076,0.025964,0.036474,0.088691,0.178349,0.049502,0.059932,0.147507,0.198918,0.071176,0.015537,0.018223,0.864441,0.014272
420,0.722098,0.138452,0.717459,0.467116,0.004991,0.674565,0.026036,0.013158,0.040855,0.572275,0.198855,0.054223,0.063240,0.025959,0.036827,0.088985,0.180575,0.049504,0.060901,0.148183,0.199945,0.071150,0.015342,0.018272,0.865390,0.014297
421,0.728922,0.138345,0.720618,0.467701,0.004966,0.677079,0.026013,0.013133,0.040524,0.582273,0.199651,0.054261,0.063415,0.025950,0.037176,0.089273,0.182736,0.049864,0.061884,0.148663,0.200983,0.071164,0.015354,0.018338,0.866296,0.014298
422,0.734826,0.138239,0.723159,0.468265,0.004941,0.679687,0.025994,0.013083,0.040176,0.590950,0.200448,0.054290,0.063596,0.025936,0.037511,0.089562,0.184825,0.050233,0.062875,0.149719,0.202038,0.071165,0.015428,0.018418,0.867253,0.014303
423,0.739901,0.138136,0.725189,0.468806,0.004911,0.682355,0.025972,0.013016,0.039821,0.598391,0.201245,0.054310,0.063776,0.025917,0.037838,0.089857,0.186843,0.050618,0.063864,0.150526,0.203113,0.071069,0.015538,0.018509,0.868233,0.014317
424,0.744230,0.138040,0.726788,0.469321,0.004877,0.685047,0.025944,0.012947,0.039480,0.604735,0.202050,0.054334,0.063951,0.025893,0.038170,0.090160,0.188796,0.051014,0.064844,0.150983,0.204215,0.070833,0.015654,0.018608,0.869130,0.014322
425,0.747892,0.137945,0.728032,0.469808,0.004842,0.687709,0.025912,0.012891,0.039171,0.610119,0.202872,0.054373,0.064122,0.025866,0.038519,0.090470,0.190688,0.051363,0.065817,0.151699,0.205338,0.070584,0.015641,0.018711,0.870034,0.014354
426,0.750979,0.137846,0.728987,0.470265,0.004809,0.690284,0.025877,0.012848,0.038894,0.614690,0.203711,0.054425,0.064293,0.025843,0.038881,0.090786,0.192526,0.051594,0.066789,0.152388,0.206476,0.070498,0.015569,0.018817,0.870944,0.014378
427,0.753587,0.137739,0.729715,0.470692,0.004781,0.692728,0.025843,0.012812,0.038638,0.618597,0.204562,0.054484,0.064469,0.025826,0.039242,0.091104,0.194314,0.051670,0.067764,0.152976,0.207628,0.070690,0.015578,0.018926,0.871862,0.014378
428,0.755807,0.137624,0.730276,0.471100,0.004756,0.695046,0.025811,0.012778,0.038393,0.621990,0.205421,0.054540,0.064651,0.025814,0.039591,0.091419,0.196055,0.051686,0.068746,0.153523,0.208812,0.071050,0.015508,0.019047,0.872826,0.014398
429,0.757698,0.137503,0.730716,0.471501,0.004733,0.697258,0.025781,0.012745,0.038156,0.624976,0.206287,0.054594,0.064842,0.025809,0.039930,0.091731,0.197749,0.051772,0.069740,0.154213,0.210049,0.071409,0.015467,0.019194,0.873747,0.014380
430,0.759298,0.137377,0.731079,0.471904,0.004709,0.699392,0.025752,0.012714,0.037928,0.627646,0.207166,0.054646,0.065041,0.025807,0.040274,0.092044,0.199391,0.052025,0.070749,0.154920,0.211356,0.071641,0.015513,0.019374,0.874617,0.014356
431,0.760648,0.137251,0.731405,0.472307,0.004686,0.701503,0.025727,0.012687,0.037710,0.630086,0.208061,0.054699,0.065247,0.025805,0.040637,0.092360,0.200975,0.052408,0.071767,0.155572,0.212717,0.071771,0.015403,0.019577,0.875465,0.014369
432,0.761795,0.137127,0.731689,0.472702,0.004666,0.703655,0.025702,0.012664,0.037501,0.632344,0.208966,0.054755,0.065456,0.025798,0.041014,0.092679,0.202506,0.052849,0.072786,0.156161,0.214111,0.071863,0.015462,0.019789,0.876336,0.014370
433,0.762793,0.137008,0.731904,0.473084,0.004652,0.705905,0.025679,0.012645,0.037300,0.634449,0.209871,0.054818,0.065664,0.025784,0.041397,0.092999,0.203993,0.053292,0.073799,0.156780,0.215517,0.071961,0.015639,0.019997,0.877188,0.014388
434,0.763692,0.136893,0.732024,0.473449,0.004644,0.708274,0.025657,0.012629,0.037105,0.636426,0.210769,0.054891,0.065873,0.025765,0.041776,0.093317,0.205443,0.053730,0.074794,0.157455,0.216921,0.072029,0.015525,0.020203,0.878024,0.014421
435,0.764513,0.136778,0.732058,0.473795,0.004641,0.710773,0.025635,0.012616,0.036919,0.638258,0.211658,0.054971,0.066083,0.025750,0.042149,0.093634,0.206858,0.054169,0.075759,0.158187,0.218308,0.072008,0.015520,0.020410,0.878887,0.014441
436,0.765255,0.136663,0.732035,0.474123,0.004642,0.713406,0.025614,0.012606,0.036747,0.639908,0.212546,0.055051,0.066295,0.025742,0.042519,0.093950,0.208237,0.054607,0.076687,0.158985,0.219670,0.071866,0.015569,0.020621,0.879702,0.014467
437,0.765922,0.136547,0.731981,0.474440,0.004645,0.716136,0.025594,0.012600,0.036593,0.641339,0.213438,0.055126,0.066507,0.025739,0.042892,0.094267,0.209577,0.055000,0.077588,0.159790,0.221026,0.071685,0.015643,0.020836,0.880529,0.014500
438,0.766521,0.136434,0.731895,0.474754,0.004646,0.718915,0.025574,0.012593,0.036451,0.642519,0.214330,0.055194,0.066717,0.025739,0.043267,0.094585,0.210882,0.055295,0.078478,0.160548,0.222404,0.071571,0.015557,0.021051,0.881391,0.014534
439,0.767063,0.136324,0.731762,0.475070,0.004643,0.721696,0.025555,0.012576,0.036307,0.643419,0.215211,0.055260,0.066925,0.025737,0.043648,0.094902,0.212157,0.055462,0.079371,0.161225,0.223820,0.071604,0.015472,0.021266,0.882197,0.014564
440,0.767557,0.136214,0.731566,0.475383,0.004636,0.724424,0.025535,0.012543,0.036151,0.644010,0.216075,0.055327,0.067128,0.025737,0.044036,0.095217,0.213408,0.055556,0.080262,0.161974,0.225263,0.071762,0.015420,0.021477,0.883033,0.014592
441,0.768016,0.136102,0.731329,0.475685,0.004623,0.727048,0.025512,0.012500,0.035989,0.644282,0.216920,0.055395,0.067328,0.025738,0.044429,0.095530,0.214637,0.055655,0.081144,0.162728,0.226713,0.071992,0.015435,0.021684,0.883870,0.014615
442,0.768449,0.135983,0.731088,0.475969,0.004606,0.729519,0.025485,0.012463,0.035839,0.644232,0.217749,0.055463,0.067523,0.025744,0.044828,0.095843,0.215847,0.055813,0.082011,0.163444,0.228153,0.072242,0.015421,0.021884,0.884651,0.014633
443,0.768863,0.135863,0.730880,0.476238,0.004588,0.731822,0.025459,0.012447,0.035719,0.643858,0.218567,0.055527,0.067715,0.025749,0.045231,0.096156,0.217037,0.055987,0.082872,0.164226,0.229578,0.072449,0.015394,0.022083,0.885406,0.014673
444,0.769265,0.135745,0.730711,0.476501,0.004574,0.733948,0.025440,0.012449,0.035626,0.643173,0.219372,0.055588,0.067905,0.025752,0.045634,0.096470,0.218205,0.056108,0.083735,0.164936,0.230986,0.072548,0.015394,0.022287,0.886179,0.014705
445,0.769657,0.135633,0.730570,0.476762,0.004568,0.735890,0.025429,0.012455,0.035549,0.642193,0.220160,0.055649,0.068096,0.025748,0.046035,0.096786,0.219348,0.056137,0.084608,0.165638,0.232376,0.072504,0.015412,0.022499,0.886975,0.014731
