gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5142,Mappatura_2020,03108028,623.7,68,20260512_101812_73_2553_3B,0.0839,0.097,0.1143,0.1158,0.1233,0.125,0.1376,0.20220000000000002,0.2359
Mappatura_2020.5144,Mappatura_2020,03108028,1393.7,157,20260512_101812_73_2553_3B,0.08850000000000001,0.1019,0.12050000000000001,0.12560000000000002,0.1414,0.1429,0.15760000000000002,0.2049,0.1783
Mappatura_2020.5147,Mappatura_2020,03108028,114.1,10,20260512_101812_73_2553_3B,0.0694,0.0756,0.09705000000000001,0.10185000000000001,0.1052,0.1019,0.12385,0.18380000000000002,0.2867
Mappatura_2020.5148,Mappatura_2020,03108028,381.4,42,20260512_101812_73_2553_3B,0.06065,0.07145,0.08365,0.0882,0.09495,0.0951,0.11660000000000001,0.18875,0.3299
Mappatura_2020.5149,Mappatura_2020,03108028,943.6,105,20260512_101812_73_2553_3B,0.1996,0.2451,0.2743,0.27340000000000003,0.2617,0.2812,0.26990000000000003,0.2887,0.0132
Mappatura_2020.5150,Mappatura_2020,03108028,926.2,101,20260512_101812_73_2553_3B,0.2041,0.24480000000000002,0.2738,0.2768,0.276,0.2869,0.2831,0.2936,0.0115
Mappatura_2020.5151,Mappatura_2020,03108028,1100.3,124,20260512_101812_73_2553_3B,0.225,0.26725,0.30595,0.31265000000000004,0.2957,0.321,0.31145,0.3387,0.0268
Mappatura_2020.5153,Mappatura_2020,03108028,305.0,34,20260512_101812_73_2553_3B,0.0594,0.06605,0.07845,0.0777,0.08865,0.08785,0.09870000000000001,0.13645000000000002,0.2167
Mappatura_2020.5154,Mappatura_2020,03108028,636.3,70,20260512_101812_73_2553_3B,0.2222,0.2725,0.29375,0.29250000000000004,0.28315,0.3153,0.29955000000000004,0.32985000000000003,0.0226
Mappatura_2020.5155,Mappatura_2020,03108028,357.2,40,20260512_101812_73_2553_3B,0.11120000000000001,0.1316,0.155,0.15960000000000002,0.1718,0.1763,0.1927,0.2538,0.1802
Mappatura_2020.5156,Mappatura_2020,03108028,184.2,19,20260512_101812_73_2553_3B,0.24280000000000002,0.28550000000000003,0.30810000000000004,0.3214,0.3123,0.32130000000000003,0.3201,0.3367,0.0234
