wavelength_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
475.0,0.88184,0.45213,0.13066,0.72910,0.21012,0.19421,0.23612,0.05697,0.02559,0.09366,0.83231,0.09274,0.30069,0.39755,0.49441
476.0,0.88236,0.45519,0.13114,0.72979,0.21106,0.19512,0.23660,0.05701,0.02558,0.09372,0.83266,0.09267,0.30118,0.39804,0.49490
477.0,0.88286,0.45805,0.13160,0.73046,0.21201,0.19602,0.23709,0.05707,0.02557,0.09379,0.83296,0.09261,0.30167,0.39853,0.49540
478.0,0.88334,0.46069,0.13204,0.73105,0.21296,0.19687,0.23759,0.05712,0.02556,0.09386,0.83324,0.09256,0.30216,0.39903,0.49589
479.0,0.88383,0.46311,0.13247,0.73151,0.21389,0.19771,0.23810,0.05716,0.02555,0.09394,0.83353,0.09251,0.30267,0.39953,0.49639
480.0,0.88431,0.46530,0.13289,0.73208,0.21475,0.19854,0.23862,0.05720,0.02555,0.09403,0.83383,0.09247,0.30319,0.40004,0.49690
481.0,0.88478,0.46728,0.13330,0.73275,0.21559,0.19935,0.23915,0.05724,0.02554,0.09413,0.83413,0.09243,0.30372,0.40056,0.49740
482.0,0.88520,0.46906,0.13370,0.73335,0.21644,0.20014,0.23970,0.05729,0.02554,0.09424,0.83442,0.09238,0.30425,0.40108,0.49790
483.0,0.88565,0.47065,0.13409,0.73388,0.21745,0.20093,0.24027,0.05734,0.02554,0.09435,0.83469,0.09233,0.30481,0.40162,0.49842
484.0,0.88611,0.47208,0.13446,0.73438,0.21830,0.20168,0.24085,0.05740,0.02553,0.09448,0.83496,0.09229,0.30538,0.40216,0.49895
485.0,0.88655,0.47335,0.13481,0.73490,0.21893,0.20237,0.24144,0.05747,0.02552,0.09460,0.83522,0.09225,0.30595,0.40272,0.49948
486.0,0.88700,0.47449,0.13515,0.73541,0.21973,0.20301,0.24203,0.05754,0.02551,0.09474,0.83549,0.09220,0.30653,0.40327,0.50002
487.0,0.88738,0.47552,0.13548,0.73594,0.22031,0.20355,0.24264,0.05761,0.02550,0.09488,0.83574,0.09216,0.30711,0.40382,0.50053
488.0,0.88774,0.47644,0.13579,0.73643,0.22070,0.20400,0.24326,0.05768,0.02550,0.09502,0.83599,0.09211,0.30771,0.40438,0.50105
489.0,0.88814,0.47726,0.13609,0.73685,0.22121,0.20436,0.24390,0.05776,0.02549,0.09517,0.83623,0.09206,0.30832,0.40496,0.50159
490.0,0.88851,0.47798,0.13637,0.73726,0.22157,0.20457,0.24455,0.05783,0.02548,0.09532,0.83646,0.09201,0.30894,0.40554,0.50213
491.0,0.88889,0.47864,0.13665,0.73774,0.22191,0.20467,0.24520,0.05791,0.02547,0.09546,0.83669,0.09196,0.30957,0.40613,0.50268
492.0,0.88924,0.47927,0.13691,0.73825,0.22235,0.20469,0.24587,0.05800,0.02546,0.09560,0.83692,0.09192,0.31021,0.40672,0.50322
493.0,0.88954,0.47989,0.13719,0.73875,0.22279,0.20467,0.24655,0.05809,0.02546,0.09574,0.83714,0.09187,0.31085,0.40730,0.50375
494.0,0.88986,0.48054,0.13747,0.73925,0.22335,0.20474,0.24724,0.05819,0.02546,0.09589,0.83736,0.09182,0.31150,0.40789,0.50429
495.0,0.89020,0.48124,0.13778,0.73972,0.22402,0.20495,0.24793,0.05829,0.02546,0.09604,0.83757,0.09177,0.31216,0.40850,0.50484
496.0,0.89056,0.48202,0.13811,0.74009,0.22472,0.20533,0.24863,0.05839,0.02545,0.09618,0.83778,0.09171,0.31282,0.40911,0.50540
497.0,0.89093,0.48288,0.13846,0.74050,0.22556,0.20590,0.24933,0.05849,0.02544,0.09631,0.83799,0.09164,0.31349,0.40973,0.50597
498.0,0.89129,0.48381,0.13883,0.74101,0.22646,0.20660,0.25004,0.05859,0.02543,0.09644,0.83820,0.09158,0.31416,0.41035,0.50654
499.0,0.89163,0.48482,0.13921,0.74156,0.22730,0.20736,0.25075,0.05869,0.02543,0.09657,0.83841,0.09153,0.31484,0.41097,0.50710
500.0,0.89198,0.48587,0.13960,0.74214,0.22813,0.20811,0.25146,0.05880,0.02542,0.09670,0.83861,0.09148,0.31552,0.41159,0.50767
501.0,0.89229,0.48695,0.13998,0.74258,0.22880,0.20882,0.25219,0.05892,0.02542,0.09683,0.83881,0.09144,0.31620,0.41221,0.50823
